y_test,y_pred
151354.78,132194.33
174706.86,159855.14
120642.43,123094.016
156160.53,142368.67
92001.98,103757.72
192447.47,203690.0
119604.73,76032.27
47481.07,56377.445
135187.43,115064.71
130269.86,153826.11
76524.1,76495.9
96753.76,93025.68
73743.67,76463.8
78486.75,45262.918
116778.13,112708.08
168252.3,171491.42
131803.94,115176.375
104902.11,101409.72
106617.61,130045.36
516122.62,549427.0
72557.41,40163.133
619073.4,636261.3
131241.77,146842.3
156032.46,142458.14
136729.35,134278.48
113445.13,114034.73
33447.85,20154.693
154029.83,141580.67
82522.7,85197.484
71176.28,79123.6
111024.04,118764.1
402874.84,406518.72
76579.28,82019.09
758861.93,769825.75
182819.7,185858.06
107216.91,110325.34
91298.83,89895.54
82026.08,71343.25
854033.73,932525.7
412242.21,394868.47
39046.32,35527.69
40714.29,13507.264
195573.34,175512.64
144705.04,124871.445
79771.26,75248.86
0.0,59031.363
848390.5,837557.6
611033.54,654159.1
164671.35,168721.1
112678.68,130781.06
50590.7,48304.043
522524.24,537675.44
90514.23,85587.32
144437.6,141751.39
115642.64,112125.16
76317.78,64713.758
0.0,48476.1
72936.16,51696.863
70529.57,68701.73
91125.56,91702.81
444580.05,465004.34
490804.37,500022.53
163242.76,174960.5
69150.62,71687.51
101462.48,105487.95
120238.52,124344.58
113631.66,103889.57
110640.47,115817.34
170366.98,167258.69
36533.12,32650.645
87833.53,77586.586
677995.11,683529.44
40493.66,40899.086
499752.88,485707.78
87467.05,109985.1
72754.45,54765.21
46844.46,53797.664
0.0,47842.574
561066.47,558975.9
110855.31,96519.99
416136.6,437831.25
380027.38,378061.9
83194.33,91063.62
50370.83,47435.934
198441.79,202680.06
484901.65,494727.0
479678.52,484430.5
47450.64,35810.664
152083.58,139014.33
326446.51,82848.82
172570.39,180915.62
156958.32,145143.67
132321.12,148779.47
108521.94,96277.91
0.0,34365.656
1409139.48,1304310.6
24485.64,24897.855
116788.47,126141.13
31617.56,29658.834
61819.31,40467.316
95740.09,91695.04
58372.71,80322.28
100031.19,101670.35
20724.48,9541.393
808793.67,825223.4
0.0,37633.17
31704.46,17566.318
0.0,102765.83
68466.3,57276.887
226960.97,224825.67
0.0,56384.645
217961.71,186839.12
600843.74,594032.6
911515.13,855367.6
82735.76,82271.7
31534.56,34027.645
151180.99,140464.27
113397.99,100829.05
227428.31,190632.56
89374.18,93335.07
134186.71,131692.1
110866.7,125578.14
391128.77,406222.3
452800.46,455834.66
96181.98,114721.46
351796.59,380870.38
82653.42,81116.266
138617.55,132138.05
84235.11,65178.504
139157.24,141046.33
131837.59,156161.1
54672.18,45104.17
0.0,19346.174
517299.55,536940.6
157452.55,162216.58
0.0,74621.875
79665.3,77497.06
102851.88,93302.67
125201.38,125972.74
87841.68,83841.72
1453778.83,1397441.6
99601.82,98036.055
0.0,68571.164
76070.05,76786.96
98479.82,95450.086
215566.72,211631.72
120703.44,106081.73
134693.8,139758.69
140584.03,143163.61
129699.06,120908.93
101189.59,92546.586
434054.09,435753.3
111853.62,125711.875
503306.3,507705.78
94227.31,105905.32
29777.34,39363.31
129087.08,131882.94
722217.52,726462.8
169852.13,160941.12
806987.51,836414.25
162099.39,144971.38
123279.1,139996.16
225242.83,214963.81
22715.38,28843.725
107921.97,119971.72
67285.73,59871.895
255081.83,264685.8
35699.76,49219.43
86876.75,93643.914
155543.47,152672.05
115720.18,134933.28
107924.08,121956.87
109184.81,102393.734
177471.63,167355.95
1681399.13,1578238.4
113063.51,111306.3
63077.77,55205.0
160961.58,174935.14
93994.63,96195.42
914207.6,952135.56
116400.81,103348.11
26059.36,29255.55
89643.53,88475.35
128650.99,118531.836
71509.09,36370.02
92701.24,99570.96
54558.56,56049.535
160891.62,161393.47
122783.45,119573.86
582086.26,616944.56
0.0,44533.668
155943.58,146551.31
76522.65,70244.91
149279.14,139034.19
90075.39,93659.97
250250.74,204684.0
0.0,63792.31
45901.83,56470.387
77697.96,82745.41
106334.14,124956.49
83622.05,74266.484
138651.31,116543.27
100732.64,110213.75
492014.38,485524.25
199069.39,158122.78
154369.06,166850.72
100982.77,118757.01
41081.42,27066.684
68824.31,48156.895
122602.03,114247.42
169357.49,186063.98
287428.91,251997.08
148695.92,133769.97
522231.24,534315.06
624059.44,198065.61
117834.54,129987.3
90481.04,109416.3
0.0,66943.11
50372.25,61682.023
148864.68,150377.66
44618.04,56323.324
25110.51,35823.527
187971.66,169586.56
4208296.02,1050440.1
30389.82,13080.844
157795.81,168410.08
141295.68,144201.97
455068.77,482251.8
42606.04,31170.086
104584.96,108394.68
108071.59,100457.55
107490.64,95019.77
97600.45,114999.51
143317.15,81653.125
84959.0,77427.07
303942.39,296629.16
80843.08,80729.336
55044.96,37420.99
495852.48,499500.75
153747.89,138321.75
156182.2,143641.81
65455.75,74994.74
104069.28,110527.914
97150.13,85444.41
24577.71,30361.941
110108.24,136478.11
24244.82,10116.73
68926.71,69285.41
152408.71,136679.86
92458.49,91942.21
869991.61,922946.94
192721.15,173326.36
132131.8,150897.19
684310.57,716172.06
384641.08,432987.75
228774.33,217416.69
116619.43,111435.91
599880.67,592344.44
112090.56,126211.305
236281.32,272632.75
152535.04,143566.31
105937.19,96277.91
102540.02,114695.63
43798.9,24501.807
36397.53,44345.508
528944.66,551505.4
701785.12,730887.06
0.0,17202.123
81214.68,83034.36
92093.81,91299.81
103378.54,105999.73
177277.23,161851.34
127208.5,144089.4
93005.79,85047.25
74544.67,74742.4
194598.82,194154.19
111153.96,68597.82
111009.7,116793.836
78482.46,72803.78
31939.16,18649.271
43625.83,39246.902
82573.79,103310.88
263541.54,216956.78
157359.19,167173.05
75122.63,74769.016
73360.4,41216.336
117312.3,138285.0
130392.27,114716.68
110670.43,121327.98
485813.28,517621.84
106104.32,93740.64
0.0,40126.5
656731.2,627900.1
53029.92,69146.055
423308.44,408398.5
56035.64,28017.383
67222.28,68743.73
81579.08,103023.47
74491.61,43074.35
82660.51,82021.53
170795.06,162203.03
0.0,85083.88
44947.8,37500.35
0.0,36014.16
112663.03,130528.54
61873.61,62774.59
58703.67,30678.38
83760.21,95019.77
193736.97,218863.81
137036.33,130079.414
32649.46,21741.318
369756.13,361417.3
684484.72,704011.0
120502.87,125552.34
67106.55,68571.164
102068.13,97012.09
522388.28,510942.84
171764.6,150381.66
428811.21,443083.1
48487.44,35847.043
102792.97,106321.305
95230.11,88018.734
84633.34,87910.875
85070.39,87152.35
132266.55,92530.59
115494.14,107932.07
92144.11,84961.21
488496.4,517579.16
147763.3,148682.61
619102.02,651969.4
174910.11,192563.48
337590.56,355798.2
137042.89,121756.516
91145.17,80585.27
64307.37,73731.195
72764.47,61588.37
105961.13,104179.5
648622.29,653656.44
351465.6,363878.5
56748.24,51589.895
86716.82,92756.56
425580.39,446121.9
64244.93,68550.0
579826.9,624016.44
52150.68,45772.098
72795.98,77840.07
99600.38,100991.5
0.0,58952.36
985267.68,941660.25
98884.21,59326.156
467800.69,455332.38
178845.5,194239.14
47780.78,49006.117
534245.72,556093.44
115741.85,106835.055
118704.06,101405.305
654035.59,631848.6
125603.4,130937.95
102066.67,105598.234
23232.94,30989.797
90971.12,83367.6
121656.43,135581.64
64503.45,64358.02
549713.17,533826.25
52096.15,52096.645
103766.65,106669.79
121468.67,113023.79
265175.83,250408.66
110037.68,113628.52
69873.99,84946.19
31191.76,28459.016
543051.71,550341.5
220351.03,208685.53
719066.66,731357.4
101355.67,94147.92
86442.19,112827.016
52996.72,30930.824
159649.35,103031.21
127614.89,136370.14
104473.89,103248.93
384072.88,406954.97
131802.48,132405.75
454191.06,473765.38
70850.34,65571.44
264277.42,239344.31
52831.12,35842.312
0.0,46116.996
265780.06,240717.27
28384.36,15679.217
71912.47,77569.51
92197.78,85129.86
175251.03,147778.23
74487.99,68091.555
385701.39,400244.84
79621.89,82583.29
162976.66,146298.64
508467.15,549387.44
224810.34,192311.03
230647.98,217990.39
92208.54,105515.29
199457.15,177655.27
78760.31,75290.47
93830.59,90786.82
178936.17,184258.95
126158.08,112929.14
551628.88,543058.5
60662.23,67093.36
174826.04,196066.7
226343.59,186265.25
374473.39,376673.75
107240.1,103211.055
118369.32,108431.31
87528.78,105187.95
489922.37,543120.1
333627.69,317255.75
115681.61,130471.69
94387.8,95975.75
416346.59,445476.75
222154.99,218284.05
183530.99,185540.72
289449.86,288941.44
111138.76,127207.305
173508.63,190330.02
182806.15,169033.55
43556.96,44515.38
221537.86,216083.1
47460.75,32059.664
46909.67,23785.576
155679.95,167979.77
0.0,28843.725
90921.29,107755.34
498499.69,501422.28
149827.96,133613.72
339480.94,366001.44
124572.01,127521.63
354055.6,355428.3
970347.62,959064.7
35943.31,25831.11
108277.63,109137.89
554729.94,540281.5
1503264.62,1374835.2
91085.42,87147.484
236373.74,248451.12
111692.74,104553.56
735904.4,740601.94
131363.07,131701.19
77305.33,51469.316
257231.16,156161.11
498947.33,493418.75
520531.31,550341.5
66483.73,65947.42
85187.41,100037.44
58414.6,56496.348
83190.38,83050.48
84116.07,89336.04
85822.3,101687.73
0.0,112172.8
150611.22,154031.12
142615.91,156404.02
137863.06,142210.0
332463.45,330912.75
581418.83,562523.2
104541.0,110909.375
87914.97,100826.32
497709.86,519396.62
91404.18,92013.1
616707.85,650010.75
167893.05,155239.7
190756.41,215939.61
398579.72,407893.25
154137.19,147346.33
989505.46,945189.3
0.0,110836.28
531971.9,567363.56
141195.51,149677.42
111262.15,121364.555
81622.52,71518.45
945937.24,889674.94
500020.92,507353.47
135156.43,79626.6
361574.94,374263.25
227376.06,242985.55
143033.95,160711.25
0.0,28500.021
493975.12,492089.84
139629.2,81144.414
35278.06,16257.258
59201.1,42326.53
96705.29,92988.91
415145.76,419081.1
141037.33,136378.64
32609.09,24765.697
354775.87,356812.03
87601.43,103310.88
142622.48,126525.51
71156.43,76945.44
127353.89,127963.19
290348.18,269921.25
0.0,43432.176
165704.17,159610.6
85950.37,104241.28
48359.8,39558.145
528983.2,511788.53
93231.03,96032.51
1152338.6,1161916.4
1147781.84,1197972.4
103934.08,104137.71
558049.93,631107.8
132387.0,87078.07
743864.85,695422.8
220471.46,216229.36
84773.84,53381.2
466055.81,478065.6
159828.54,158466.94
85955.36,92328.19
98868.67,113713.52
164456.25,184716.9
84472.52,95364.94
126311.94,113264.18
128546.57,120501.4
155552.18,160588.56
166704.4,179874.89
106088.6,109612.09
154920.4,130965.125
144958.16,171305.14
110193.11,130950.516
96533.61,114799.36
543857.34,618728.8
75458.15,56033.332
83176.44,75092.01
344986.74,369744.2
640646.69,629823.3
141782.17,129474.31
330461.52,323788.2
102785.92,113850.1
113153.9,117955.78
99033.8,89374.82
382122.13,410977.56
221872.13,256276.03
125106.75,132859.08
58262.93,26878.078
106983.18,129130.4
143103.34,161006.39
150016.28,150152.06
82635.08,72211.28
100068.81,87877.68
0.0,55531.582
198134.11,187086.14
84610.88,80980.59
70531.92,46167.133
80040.95,96490.59
915058.37,177457.75
67697.8,50530.375
114860.04,113641.516
76183.4,67843.99
25446.4,19463.25
86393.63,83946.91
226916.9,190305.78
198082.84,226449.69
145766.64,146546.08
115868.52,115234.28
130096.41,123031.11
89236.29,96868.98
601067.59,654463.9
630701.48,640421.0
91849.24,108086.98
96257.6,93762.03
324198.15,347878.12
113734.24,102416.95
81535.22,71872.03
56300.82,39257.098
130827.78,147088.94
108228.53,113640.555
461556.89,452583.44
581147.42,566405.44
88194.28,91560.086
85925.63,79214.57
79632.97,67302.51
99941.19,64283.72
918785.24,902298.25
48997.64,51286.312
82107.44,78425.586
66312.75,60631.42
127418.68,142208.1
139485.43,143254.03
704217.25,694335.3
76038.9,81997.016
100107.61,63937.14
1558730.02,1490071.0
170588.06,158450.19
129283.58,138270.62
90445.79,111202.81
43697.02,50771.855
60201.79,161885.14
155160.08,146169.39
0.0,42633.984
136412.18,178524.1
170642.87,147454.38
211927.25,195585.27
56806.38,28845.803
112762.58,135634.6
130025.97,123247.445
7423.49,24866.875
42003.76,42906.33
