y_test,y_pred
63,67.03567
81,64.2899
40,50.651894
53,57.973297
2,2.6088731
96,104.24052
48,36.95424
22,22.868101
6,4.6022463
78,79.49431
31,39.64419
33,37.335358
35,31.228878
36,23.404724
59,56.644936
109,84.68354
84,58.335407
39,41.087017
4,8.250143
286,275.54086
43,19.169193
329,308.8834
51,56.76466
67,70.961266
5,6.6439695
54,57.70565
14,11.151941
10,8.598258
37,42.56665
34,41.32445
6,7.768682
200,213.22873
29,33.234158
331,375.04562
101,90.893196
41,56.11445
32,36.323536
54,32.424896
455,467.63998
263,199.63058
15,17.353899
20,7.817717
13,10.518767
10,3.0461848
38,29.681246
0,28.721844
421,415.006
393,325.38388
76,85.00047
51,65.173416
23,23.20314
256,262.86154
34,42.643135
57,53.938065
60,56.987553
26,26.932602
0,24.673235
41,23.022839
27,26.977657
56,47.28959
180,239.98338
250,255.15025
81,68.56723
46,37.597385
50,52.72728
49,49.18513
50,43.69716
47,58.510494
96,83.24061
22,15.626254
29,32.52403
419,348.94684
20,21.883501
230,248.81544
5,-2.0745902
44,26.746561
20,25.235687
0,22.881144
298,289.84738
46,53.229088
247,228.85072
227,192.85611
50,48.918175
33,26.010153
93,100.13684
240,247.29214
203,244.82364
18,17.357824
4,6.96584
64,42.338024
6,10.822475
72,72.10222
8,6.1339054
42,38.785336
0,17.18105
739,661.2783
15,14.238386
7,3.1288683
12,16.159395
39,20.464333
47,45.584023
5,0.40164685
44,39.916195
9,6.028468
358,415.35883
0,18.882498
12,10.52762
0,51.62173
33,26.267597
103,108.998695
0,27.72153
121,95.15665
312,301.58902
506,434.7665
52,40.083767
10,16.729921
89,71.33516
73,49.71898
12,13.248996
33,36.891838
72,64.09455
69,63.245842
214,209.76105
300,235.63539
5,5.018467
144,198.45802
34,32.86815
64,65.531586
43,29.364176
47,57.972015
54,78.681854
19,22.028738
0,9.83414
266,272.9031
66,80.85143
0,34.475174
35,40.567223
35,37.69316
5,6.309254
38,34.165215
710,705.79083
41,36.95015
0,33.411213
27,32.56628
37,36.82381
13,9.702479
63,54.165344
58,70.272675
57,72.39186
88,60.71132
37,36.81444
279,220.8257
67,61.032433
209,254.6809
55,54.87894
11,18.520134
84,65.55626
321,366.7835
104,81.03006
440,423.15265
10,8.054581
60,71.57929
10,18.789312
10,14.233974
70,59.787224
36,30.818998
22,16.208996
20,25.488176
3,2.264449
64,60.87207
59,69.76804
59,61.529366
8,3.5440254
9,11.988095
676,836.2919
13,4.727392
29,27.430885
76,84.48545
54,48.642803
475,485.50656
69,52.91153
8,11.943076
36,35.683704
59,59.91427
39,19.468918
42,50.443027
26,27.874104
102,80.148346
65,60.677155
307,312.97357
0,21.381643
93,73.14153
30,28.832867
101,69.16155
58,46.567318
156,99.43995
0,30.809187
28,27.336876
31,35.370625
10,1.4006708
38,37.9508
4,5.304836
37,43.815025
324,246.41382
89,65.500496
66,83.72423
5,2.127541
19,14.578578
40,21.197916
60,45.550106
77,94.7425
18,12.731701
61,65.22071
272,277.50897
26,10.933787
57,63.867443
38,55.038895
0,34.182747
28,28.017353
93,76.35103
22,25.460117
8,18.830345
81,85.2766
801,533.9743
16,9.072673
63,84.41779
3,8.299315
232,247.53827
20,15.936427
4,6.2782793
53,51.29762
2,1.2962862
59,58.345337
62,38.53256
33,39.594337
177,153.15544
31,32.273174
22,19.36353
268,257.18143
69,65.00221
12,4.9740906
31,37.19804
46,42.06275
47,43.423035
13,15.782162
7,8.179461
11,7.9348803
27,29.34875
66,57.717587
58,46.631214
541,469.4666
8,8.314011
3,4.516787
273,358.2616
248,214.43428
109,107.590164
68,53.72467
251,301.59644
3,7.6335034
109,138.97658
94,70.992134
36,38.785336
39,44.80206
23,12.50647
20,21.023325
282,282.19095
465,367.71344
0,9.751046
29,31.235561
35,34.822445
41,43.4685
80,78.72266
3,8.338042
55,41.319366
26,29.969471
126,96.68018
58,31.906725
47,58.74343
46,37.910416
11,9.693398
20,19.680933
48,53.856846
112,108.98559
92,82.04698
35,31.427515
35,21.078764
54,72.6024
66,58.64137
53,58.756493
238,264.97113
71,47.325363
0,19.010662
357,314.438
5,-0.42283294
210,206.20134
25,14.102324
29,36.746975
53,54.563778
42,22.144548
35,30.684483
5,12.38253
0,41.33084
