y_test,y_pred
9081.29,7749.5713
11375.0,11047.394
11250.0,11375.28
6300.0,6724.3174
4819.65,4629.144
11546.85,11823.689
6690.84,3762.1958
5400.0,5168.793
5401.59,5202.0806
7816.19,9449.116
4591.45,4963.1416
4050.0,4565.0547
5670.0,5600.895
4522.21,2288.5896
7006.69,6711.2812
10095.14,10211.249
7908.24,6926.7754
6187.5,5571.72
8884.51,10915.041
103224.52,109475.46
4314.57,1767.5878
123814.68,129236.62
7500.0,8905.317
9361.95,8220.199
14465.19,12966.841
6806.71,6046.916
6750.0,6126.353
16316.79,12964.155
4951.36,5306.067
4270.58,4550.062
11874.2,11581.1
80574.97,81315.25
4320.0,4095.1636
151772.39,151925.2
10969.18,11271.667
6433.01,6602.9956
5000.0,4669.3833
4107.66,3495.679
170806.75,188859.11
82448.44,78505.87
2115.5,1920.5225
2346.45,690.74884
10378.4,9303.535
11551.3,7405.8613
4680.0,5011.4575
0.0,3039.5671
169678.1,169042.72
122206.71,128118.23
9880.28,10098.388
6760.72,7558.7974
2318.5,2133.9465
104504.85,106853.67
5430.85,5327.8394
10312.5,10321.223
6938.56,6737.2896
6500.0,6651.693
0.0,2519.0325
3908.68,2749.3252
3600.0,3315.9756
5467.53,5520.733
88916.01,93035.516
98160.87,99785.68
9750.0,11363.12
4149.04,4180.6514
6087.75,5950.7637
8190.0,7180.6177
6075.0,6184.504
6638.43,6845.6265
10222.02,10064.823
2179.94,1353.8147
7150.0,7206.168
135599.02,136530.73
2176.28,1989.2832
99950.58,97302.87
9959.27,11058.658
3672.09,2463.5461
2466.69,2726.8894
0.0,2229.5156
112213.29,112595.99
22171.06,19017.344
83227.32,84761.14
76005.48,73752.91
4991.66,5689.8267
2586.15,2386.4973
11906.51,11763.028
96980.33,99525.49
95935.7,94676.1
1992.48,1657.4814
7101.13,6085.6533
19586.79,5100.7344
15003.93,15021.358
9417.5,8668.663
4962.04,6065.9893
5625.0,5020.4624
0.0,1638.1584
281827.9,261074.31
1243.21,1301.3865
7135.74,6852.626
1435.99,1486.6848
