y_test,y_pred
151354.78,132758.56
174706.86,162361.03
120642.43,119905.21
156160.53,142128.42
92001.98,104025.49
192447.47,202658.52
119604.73,77326.375
47481.07,53841.617
135187.43,115305.48
130269.86,149767.84
76524.1,77939.29
96753.76,93355.99
73743.67,77121.41
78486.75,45566.2
116778.13,115369.35
168252.3,166438.02
131803.94,117883.18
104902.11,103264.82
106617.61,127229.89
516122.62,542544.8
72557.41,43080.805
619073.4,637823.0
131241.77,143914.77
156032.46,144942.3
136729.35,134634.52
113445.13,110242.91
33447.85,27302.438
154029.83,145671.23
82522.7,85270.59
71176.28,72592.414
111024.04,118965.35
402874.84,395931.88
76579.28,80167.266
758861.93,761995.56
182819.7,188106.25
107216.91,109917.234
91298.83,90701.65
82026.08,63054.918
854033.73,896707.75
412242.21,410951.4
39046.32,34298.926
40714.29,17893.584
195573.34,186789.05
144705.04,124937.18
79771.26,75840.0
0.0,55512.734
848390.5,822218.1
611033.54,641875.4
164671.35,166784.5
112678.68,130162.47
50590.7,43885.027
522524.24,550151.3
90514.23,86280.234
144437.6,139339.58
115642.64,109873.96
76317.78,70214.19
0.0,51160.062
72936.16,46590.26
70529.57,67191.81
91125.56,91809.44
444580.05,440726.66
490804.37,502683.12
163242.76,177053.81
69150.62,75341.055
101462.48,103679.76
120238.52,124982.65
113631.66,106283.6
110640.47,114261.36
170366.98,164465.14
36533.12,33491.527
87833.53,82781.05
677995.11,674772.06
40493.66,38623.79
499752.88,485255.3
87467.05,104097.31
72754.45,54032.766
46844.46,52266.57
0.0,46438.375
561066.47,578950.25
110855.31,103169.73
416136.6,433553.66
380027.38,371262.6
83194.33,87723.77
50370.83,49161.758
198441.79,206937.3
484901.65,488672.8
479678.52,472989.97
47450.64,34724.516
152083.58,137906.28
326446.51,85879.29
172570.39,178684.22
156958.32,145045.08
132321.12,150374.52
108521.94,97463.75
0.0,35385.59
1409139.48,1322383.5
24485.64,29009.906
116788.47,125524.805
31617.56,29493.086
61819.31,38748.5
95740.09,89212.38
58372.71,71036.86
100031.19,99761.58
20724.48,14972.797
808793.67,826402.1
0.0,37748.754
31704.46,24001.96
0.0,104570.875
68466.3,62447.758
226960.97,219978.97
0.0,56627.977
217961.71,207869.53
600843.74,599286.2
911515.13,884805.6
82735.76,82610.914
31534.56,34672.984
151180.99,142891.73
113397.99,106277.23
227428.31,203540.22
89374.18,91339.734
134186.71,123241.62
110866.7,122062.04
391128.77,376381.25
452800.46,467876.0
96181.98,115058.31
351796.59,359175.12
82653.42,83599.58
138617.55,133661.61
84235.11,58012.105
139157.24,139748.6
131837.59,151536.08
54672.18,48098.098
0.0,26146.377
517299.55,536348.0
157452.55,167948.31
0.0,71083.64
79665.3,78341.93
102851.88,93631.25
125201.38,127632.51
87841.68,82859.73
1453778.83,1432579.2
99601.82,101989.445
0.0,67648.64
76070.05,77363.81
98479.82,97660.31
215566.72,212547.8
120703.44,108944.51
134693.8,137319.14
140584.03,147521.2
129699.06,122206.27
101189.59,94024.125
434054.09,449873.1
111853.62,127380.414
503306.3,497254.75
94227.31,107917.77
29777.34,34094.426
129087.08,134694.42
722217.52,751730.06
169852.13,160140.42
806987.51,804577.4
162099.39,152554.08
123279.1,138014.66
225242.83,230357.4
22715.38,27676.637
107921.97,119209.53
67285.73,60901.562
255081.83,257322.61
35699.76,46649.176
86876.75,92997.31
155543.47,149659.69
115720.18,134574.73
107924.08,123985.58
109184.81,103239.125
177471.63,174216.17
1681399.13,1655804.1
113063.51,110805.516
63077.77,52313.863
160961.58,173789.08
93994.63,96820.54
914207.6,946769.3
116400.81,106583.43
26059.36,28360.332
89643.53,88257.82
128650.99,116628.39
71509.09,40669.836
92701.24,100665.64
54558.56,57558.734
160891.62,161979.4
122783.45,119673.78
582086.26,614804.4
0.0,41745.535
155943.58,170688.6
76522.65,71474.83
149279.14,145712.6
90075.39,90172.695
250250.74,208455.31
0.0,55925.383
45901.83,56542.613
77697.96,82341.35
106334.14,125368.92
83622.05,77154.734
138651.31,117002.05
100732.64,107752.69
492014.38,490930.56
199069.39,173059.58
154369.06,166388.25
100982.77,119057.07
41081.42,28596.996
68824.31,41834.66
122602.03,116311.89
169357.49,185458.73
287428.91,258696.03
148695.92,133952.12
522231.24,533668.44
624059.44,197392.3
