y_test,y_pred
9081.29,8021.467
11375.0,11190.372
11250.0,11123.892
6300.0,6491.285
4819.65,4786.797
11546.85,11712.631
6690.84,3744.6162
5400.0,5279.3135
5401.59,5231.9277
7816.19,9404.309
4591.45,4804.5967
4050.0,4023.2961
5670.0,5685.0093
4522.21,2154.0112
7006.69,6951.31
10095.14,10014.556
7908.24,7071.0493
6187.5,6115.1074
8884.51,11493.626
103224.52,108473.68
4314.57,2108.3489
123814.68,129552.0
7500.0,7774.5527
9361.95,8793.171
14465.19,13068.927
6806.71,6709.428
6750.0,6416.551
16316.79,13907.744
4951.36,5112.8022
4270.58,3889.568
11874.2,12231.262
80574.97,78902.39
4320.0,4330.8013
151772.39,152399.25
10969.18,11072.324
6433.01,6559.893
5000.0,4924.9624
4107.66,3123.4172
170806.75,180859.42
82448.44,81970.89
2115.5,1635.2827
2346.45,918.52057
10378.4,8973.663
11551.3,8292.686
4680.0,4967.528
0.0,2668.6292
169678.1,165307.3
122206.71,126576.375
9880.28,10131.681
6760.72,8004.347
2318.5,2202.4072
104504.85,109224.195
5430.85,5166.4053
10312.5,10219.634
6938.56,6775.5356
6500.0,6619.6978
0.0,2554.1853
3908.68,2400.262
3600.0,3405.612
5467.53,5814.1973
88916.01,87650.16
98160.87,100215.33
9750.0,10574.765
4149.04,4472.468
6087.75,6193.175
8190.0,7976.3433
6075.0,6212.1016
6638.43,6939.893
10222.02,9655.668
2179.94,1595.5177
7150.0,7453.8413
135599.02,134660.78
2176.28,1931.7827
99950.58,97773.67
9959.27,11788.819
3672.09,2793.6768
2466.69,2620.673
0.0,2468.856
112213.29,115294.14
22171.06,20519.164
83227.32,86477.77
76005.48,73861.27
4991.66,5654.009
2586.15,2464.2173
11906.51,12250.668
96980.33,98592.53
95935.7,94508.69
1992.48,1760.8549
7101.13,6092.8936
19586.79,4953.528
15003.93,15531.261
9417.5,8605.885
4962.04,5656.8003
5625.0,5575.252
0.0,1837.8829
281827.9,266576.78
1243.21,1630.24
7135.74,6956.1704
1435.99,1499.096
2638.13,1961.3087
5744.41,5436.2417
6842.99,8402.348
6500.0,6724.845
1167.42,666.58734
161758.73,164737.75
0.0,1912.546
1555.08,1272.2797
0.0,6020.003
5175.0,5160.4155
13617.66,13018.622
0.0,2817.2698
43592.34,41276.66
120168.75,120212.31
182303.03,177094.86
4964.15,5165.2544
1365.37,1705.2545
9070.86,8808.411
6803.88,6384.1846
8528.56,7856.0444
8100.0,8032.895
26837.34,24780.822
6652.0,7393.1323
78225.75,74589.016
90560.09,93177.95
3606.82,4741.9946
70359.32,71067.875
5265.0,5375.2456
8317.05,7889.901
3638.3,2823.9736
9450.0,9174.965
7910.26,9010.9375
3280.33,2827.1255
0.0,1299.5962
103459.91,107577.23
9447.15,10057.473
0.0,3467.562
4779.92,4791.6626
4050.0,4005.3906
13653.88,13079.06
5625.0,5691.0913
290755.77,288481.34
4500.0,4520.936
0.0,3434.7063
8100.0,7807.3506
4950.0,4860.6636
23859.09,22372.496
7242.21,6457.069
8081.63,8334.39
8435.04,8882.854
7781.94,7362.505
4500.0,4357.2207
86810.82,90677.35
6711.22,7262.536
100661.26,98867.0
5653.64,6471.091
1616.56,1786.5916
7745.22,8087.3115
144443.5,150453.25
10191.13,9318.692
161397.5,161805.97
6078.73,5692.3765
7396.75,8429.065
8446.61,9381.358
1049.98,1441.6647
6475.32,7010.275
4037.14,3934.0078
22907.79,22298.375
1458.44,2338.0042
9533.07,9637.822
10920.0,10828.736
6943.21,8070.3877
6475.44,7111.4946
4266.48,4823.305
6655.19,6475.8345
336279.83,330079.56
4239.88,5158.0557
3145.97,2773.47
9657.69,10053.833
5639.68,5828.393
182841.52,189445.92
6984.05,6928.3647
3600.0,3625.9834
4050.0,3920.102
7719.06,7048.28
4024.56,1919.6459
5562.07,5975.8823
3273.51,3511.941
9653.5,9660.111
7367.01,7146.94
116417.25,123339.2
0.0,2135.1025
9356.61,9842.281
5400.0,5567.535
8956.75,8390.132
5404.52,5502.441
15015.04,12530.202
0.0,2701.3962
2427.79,2831.9448
9750.0,9432.718
3987.53,5485.272
5017.32,4604.671
6018.31,5154.1997
5670.0,6049.2876
98402.88,99386.41
8820.0,8419.349
9262.14,10115.159
3786.85,4651.9395
1941.8,1551.4583
3320.79,2067.4307
10010.0,9600.574
10161.45,10736.676
20245.59,15370.479
8921.76,7987.2295
104446.25,107689.54
45226.99,8963.269
7070.07,7882.7275
5428.86,6494.2983
0.0,3204.5068
2992.2,2965.7563
8931.88,8886.498
2025.37,2475.2532
12555.25,1680.0065
11278.3,10299.086
841659.2,207527.89
1413.65,1068.4698
9467.75,9784.988
5298.59,5958.823
91013.75,95526.36
1726.62,1470.0164
11129.46,11169.179
6484.3,6246.3623
4372.42,4245.3076
5856.03,6844.4434
8119.43,3862.9631
