y_test,y_pred
63,67.68241
81,64.242714
40,48.408356
53,57.816093
2,4.6075997
96,102.0378
48,39.042362
22,20.694613
6,6.203417
78,78.184326
31,39.363518
33,36.995415
35,30.952833
36,22.893042
59,57.296528
109,83.07141
84,59.529392
39,41.095078
4,6.6610003
286,274.34906
43,20.734522
329,311.8095
51,56.66595
67,73.27717
5,6.679795
54,56.53581
14,11.173464
10,8.03143
37,41.925884
34,36.681705
6,7.003149
200,201.93127
29,31.752178
331,383.0396
101,92.75776
41,55.682037
32,36.89974
54,30.914526
455,453.50333
263,208.24059
15,15.766228
20,10.017428
13,10.2146225
10,4.8802686
38,30.06473
0,26.41149
421,414.2625
393,329.23065
76,84.172844
51,66.6854
23,22.749592
256,273.42725
34,42.698627
57,54.918613
60,56.711636
26,28.380886
0,24.942924
41,22.562147
27,26.935658
56,46.38125
180,223.96497
250,252.95828
81,68.93772
46,37.879463
50,52.265545
49,50.205284
50,42.382263
47,58.016075
96,81.90873
22,16.289968
29,33.53606
419,343.09964
20,20.108786
230,246.19603
5,2.3046997
44,26.557428
20,25.059898
0,22.394304
298,295.5428
46,53.574223
247,222.11945
227,186.73788
50,45.79561
33,24.405157
93,104.441795
240,249.38852
203,242.74951
18,16.790092
4,7.50028
64,42.444386
6,11.170855
72,71.957886
8,8.239141
42,38.933735
0,17.753643
739,677.159
15,14.761036
7,5.5135994
12,14.8081045
39,18.671192
47,45.095634
5,1.743965
44,39.179077
9,7.328453
358,420.75555
0,18.676155
12,11.87136
0,53.386787
33,25.907444
103,111.10151
0,28.431921
121,100.497475
312,302.6312
506,456.09888
52,41.727737
10,16.900146
89,71.86107
73,53.298393
12,10.066244
33,38.113335
72,61.57547
69,61.632008
214,195.65373
300,234.59917
5,5.2762966
144,184.09662
34,32.978394
64,66.73065
43,28.543163
47,55.252247
54,75.460976
19,24.216858
0,12.65583
266,270.4828
66,84.28324
0,34.63832
35,40.67984
35,37.21733
5,6.349396
38,34.592926
710,714.14484
41,41.149216
0,33.95647
27,31.347626
37,38.39082
13,10.008384
63,54.17284
58,69.45195
57,73.79919
88,60.970406
37,37.272984
279,229.03424
67,63.422993
209,243.79889
55,54.891613
11,16.523605
84,66.7429
321,385.63617
104,80.35775
440,413.56543
10,7.7671976
60,71.56412
10,15.119206
10,14.640429
70,58.86167
36,31.56744
22,13.039001
20,22.694242
3,3.6735706
64,59.729305
59,67.37691
59,61.27742
8,4.8513856
9,9.281811
676,886.20386
13,4.8622384
29,26.141827
76,86.14343
54,48.26594
475,479.514
69,53.760742
8,10.482293
36,34.95741
59,58.665977
39,19.763601
42,50.08511
26,28.269522
102,80.891556
65,60.17771
307,308.89606
0,20.903585
93,82.16846
30,28.729988
101,72.59544
58,45.952694
156,102.80989
0,28.492058
28,27.960606
31,32.536842
10,5.109928
38,38.283524
4,5.814057
37,43.79133
324,248.82213
89,69.54052
66,83.28244
5,4.9974895
19,14.135299
40,20.265808
60,46.2533
77,91.63243
18,12.303375
61,67.17691
272,272.69226
26,10.667433
57,65.75262
38,56.279068
0,30.85057
28,28.699703
93,77.13888
22,24.210438
8,16.717373
81,85.12222
801,526.54694
16,9.996292
63,84.14569
3,8.462404
232,240.91017
20,14.293644
4,6.504096
53,51.84673
2,3.748481
59,58.715145
62,38.87568
33,39.49599
177,151.8026
31,32.585205
22,18.616419
268,263.2153
69,68.10651
12,5.9368668
31,36.43347
46,43.62865
47,43.307514
13,13.58053
7,7.306926
11,8.366516
27,28.88139
66,56.523483
58,46.23482
541,464.5531
8,7.4357715
3,6.7638125
273,366.61237
248,211.40709
109,115.777695
68,54.55302
251,296.1793
3,6.783814
109,129.37274
94,71.97215
36,39.062187
39,44.67536
23,13.5901165
20,21.387978
282,272.45993
465,363.24615
0,10.603188
29,32.522537
35,35.84072
41,42.805984
80,80.84611
3,8.049976
55,42.505547
26,30.214437
126,97.826584
58,32.29133
47,59.424416
46,36.52082
11,10.5137205
20,16.996754
48,50.98765
112,112.23866
92,81.4881
35,31.919
35,21.874655
54,69.47437
66,58.929653
53,58.55561
238,248.98668
71,47.088573
0,20.845335
357,325.34717
5,1.0281199
210,207.69113
25,15.201469
29,34.87122
53,43.30282
42,22.46078
35,33.494175
5,8.531538
0,41.992584
19,19.204895
0,18.907324
55,64.92088
24,30.966663
32,17.087152
3,3.7976892
5,13.416755
48,52.34367
14,11.24527
191,179.6935
317,351.96255
40,48.840496
28,34.09518
49,51.51142
271,256.71936
11,6.880061
257,231.9193
22,18.194504
49,54.67072
44,34.55366
29,35.335484
30,34.84016
60,45.19013
63,53.873154
53,42.156437
326,265.96347
73,64.30603
359,333.09784
9,11.476745
191,183.16756
73,62.86505
43,33.801247
26,36.01002
25,27.47241
36,42.00941
367,330.51373
208,179.21031
25,28.68439
36,35.189312
249,215.9575
25,27.235281
238,302.56616
22,21.077188
27,28.830097
33,37.890312
0,29.88955
527,486.87155
50,42.4634
309,231.6789
85,99.7097
33,22.148436
293,279.8862
49,52.65859
6,4.597132
357,320.19876
49,50.00543
65,52.678402
9,14.173203
44,41.782677
62,68.84446
27,26.856808
234,263.59702
27,27.398848
49,42.485764
56,55.984016
128,134.76083
56,54.65233
41,40.84234
16,14.863595
256,274.17197
107,108.69363
329,366.62912
6,3.941962
2,6.4049225
28,16.421545
76,50.294956
56,51.637398
48,42.159847
228,204.013
70,66.424164
210,223.96262
25,26.657639
135,125.80236
23,16.866568
0,21.823317
17,13.601644
13,8.831115
40,39.42038
41,41.413643
10,7.572947
39,35.13256
230,201.83604
37,43.200466
10,7.5691977
215,276.38907
17,12.0430765
109,108.92166
38,54.017742
79,89.05461
35,37.74981
45,35.79607
101,91.45171
52,58.035095
364,278.38144
26,30.825516
98,97.257
10,11.375331
193,183.18817
56,51.734158
4,6.438004
4,4.9899163
314,272.4835
180,160.69435
74,66.739334
33,37.728123
216,217.6296
134,117.999466
100,92.0707
136,151.96861
53,64.48012
7,10.478284
64,67.99648
21,21.95511
106,107.93648
19,15.941504
19,14.25749
72,87.47066
0,14.640429
54,53.386395
296,251.34148
54,57.6774
214,180.10257
46,49.42746
180,182.88608
564,487.85214
13,14.020119
44,42.879917
292,276.83
700,726.2624
38,34.636395
139,121.9764
4,6.018743
299,376.77448
76,62.755398
47,23.42216
9,7.6349473
274,247.50334
244,273.96902
22,26.97725
40,50.631313
21,25.19522
44,42.222965
5,3.8661082
56,50.293915
0,44.810055
78,77.01717
7,6.986345
4,8.193472
147,174.1461
333,297.27094
49,43.655025
46,48.819324
275,262.01157
46,44.92261
313,324.97195
66,80.34693
10,14.626676
165,204.021
76,75.35164
441,492.52408
0,54.84148
222,282.5883
58,61.552586
50,45.75464
39,35.24341
430,456.48618
329,249.34943
82,37.55944
174,191.53952
10,13.450788
4,7.427575
0,16.368776
259,247.87387
84,39.784744
16,11.372114
37,21.241327
48,45.69019
237,219.71654
67,67.95627
22,12.767852
156,182.84108
40,50.938477
9,6.843223
25,31.589947
4,6.461727
190,142.02397
0,21.559431
7,6.327771
46,51.39266
29,19.573326
273,267.19257
40,38.389774
526,611.20087
573,631.79785
54,51.13601
286,305.487
66,40.15539
397,364.80594
95,115.65411
39,25.98247
280,251.00731
5,7.3901815
51,47.62452
62,55.831436
10,11.447738
3,3.164187
75,59.0439
46,48.55781
6,9.155777
13,7.8696494
40,42.359238
10,6.324366
14,8.62989
3,7.241923
43,54.5292
249,296.4053
35,23.364489
44,39.96223
143,184.4698
324,316.05765
71,64.238914
176,163.52467
35,43.996582
5,4.83751
39,45.312855
192,203.128
8,13.630795
74,66.432045
25,16.31035
62,64.19762
53,62.586323
71,76.299644
30,29.873224
44,44.463665
0,23.716776
82,92.968994
38,32.576324
31,21.26097
44,46.907444
176,90.11199
31,25.822268
38,44.898838
39,33.810413
13,12.120252
35,43.279156
117,98.33155
109,110.21853
6,8.236811
2,5.3589196
11,7.5337524
33,38.924496
278,318.7115
340,320.7587
61,52.168365
45,37.780396
160,161.30746
9,4.5235696
31,28.679853
25,18.586496
70,73.65646
55,56.928646
234,227.77902
246,298.7813
3,3.7811198
47,40.853813
45,35.347134
62,42.79933
418,466.79846
20,23.254309
40,39.788204
28,31.12481
10,8.750824
47,58.16348
293,363.70178
51,41.79139
55,30.90537
758,804.89496
108,79.543564
56,68.77568
39,53.455463
27,23.344389
2,9.54885
71,56.785805
0,20.106684
8,8.425393
7,8.368994
135,100.60492
21,15.802912
6,9.003274
58,49.486828
7,14.325403
14,16.286434
6,11.156961
0,11.319879
36,35.73032
49,40.812492
36,45.66355
0,25.244139
16,9.573352
33,39.21108
7,4.408918
264,268.15387
399,447.10962
21,14.371179
86,74.55276
61,58.472176
67,68.69134
79,64.991684
61,72.5692
43,56.287453
31,26.829082
9,13.8762245
55,51.03566
64,74.49694
88,76.179245
50,64.9324
249,279.90042
26,31.662882
7,3.0560834
322,297.17987
201,251.49474
13,14.255409
30,43.380512
68,82.21995
0,23.890108
309,373.18744
38,30.999641
29,34.216602
100,80.64535
36,38.68561
61,50.663734
561,505.61746
40,55.059727
6,5.5330915
305,319.92163
72,70.395935
273,297.56134
54,63.074917
4,7.3303137
0,30.376318
89,67.12
6,6.992423
18,13.157528
46,51.09668
72,60.401855
14,16.210213
49,53.096703
27,21.017912
2,3.116199
38,32.324352
372,333.61868
29,13.88491
5,7.6432137
53,58.509075
28,27.348166
0,11.889449
46,46.395905
67,55.768173
39,34.84613
22,11.363326
8,7.2647514
51,41.25602
229,240.04805
52,46.421055
6,3.9698257
75,59.004147
36,22.738136
155,196.13979
256,217.02806
10,8.826358
3,5.336533
32,34.4105
278,280.77365
32,31.470144
62,82.03865
68,81.6991
4,6.410585
16,14.270004
44,43.32456
19,20.61367
26,24.703043
41,50.470013
50,44.998486
67,51.815903
29,29.981749
173,183.6205
190,225.30971
43,48.665302
16,10.900081
13,10.9026165
0,33.120323
213,203.34561
19,10.013063
111,91.15245
159,128.77232
78,91.7765
46,34.504597
73,84.79463
17,11.018575
10,6.8881416
42,42.758423
27,31.541317
11,13.083878
81,74.1836
33,37.32705
87,103.40822
37,35.65938
215,216.65242
306,280.78638
48,26.065966
35,36.63787
19,21.268492
14,10.712616
41,45.306377
343,280.43442
92,94.922585
234,298.08243
296,247.86569
9,7.779518
55,67.500595
281,338.25946
39,52.656
7,5.713935
6,7.308034
497,430.90567
35,36.295425
34,48.23684
11,9.524367
59,60.96918
27,16.35958
17,11.021427
37,36.56457
67,67.57669
15,12.699048
98,93.54139
42,43.738716
20,21.558092
9,10.329432
86,78.69685
21,16.23216
369,378.32532
368,344.8716
57,58.150208
13,10.763553
224,248.4328
28,32.672874
10,5.7011228
0,14.752133
22,19.107765
87,100.41532
5,4.2579722
41,35.733734
88,61.124714
43,47.18967
40,45.247704
69,62.036636
451,338.43985
19,21.262177
35,39.42175
107,132.87936
37,47.73882
0,11.548895
72,58.621635
62,67.640656
36,36.38915
223,188.14842
37,29.981749
8,7.290738
52,45.186047
33,38.659065
371,372.32184
73,57.31875
179,224.32068
46,51.103184
95,103.934616
45,41.316277
31,30.08793
27,32.96507
28,40.093414
21,21.382881
3,4.9616413
22,19.739672
25,31.348562
31,39.692623
73,76.09366
10,16.008312
17,21.417885
36,48.43683
69,57.04019
36,37.117313
11,12.82177
54,59.335377
68,68.594795
62,61.617764
533,564.1907
27,16.688017
12,13.512637
56,55.09676
20,16.74278
25,28.520424
38,40.21767
4,7.6501455
0,13.265255
34,19.775097
19,15.775022
23,13.073796
36,39.469254
105,76.89208
43,39.77091
273,345.41354
10,14.236761
84,71.65738
76,99.315315
18,16.540842
48,42.133865
35,20.90808
10,6.5731096
201,176.57135
8,5.9686995
1,4.255873
32,23.518892
8,4.7268867
0,70.091896
42,35.009224
5,6.233389
2,5.089082
165,197.70506
25,14.669778
20,15.328049
8,10.4918585
5,7.5481524
55,49.023537
24,20.0548
66,56.454285
61,38.87568
341,351.66998
251,255.82932
9,15.466504
51,49.79711
13,8.258069
50,51.88722
40,57.652027
6,8.066503
47,56.84968
30,35.484715
28,47.576164
3,8.686785
86,84.37369
16,13.857684
20,10.71935
83,75.743515
10,7.3595085
6,8.362077
227,199.63197
9,10.029385
189,227.56253
0,18.986395
0,24.393957
40,16.225218
37,36.085625
581,486.19302
52,49.659767
51,43.64712
52,56.377636
86,101.073074
24,11.488956
58,50.64469
11,9.5358095
72,66.126
348,281.13135
37,47.82209
45,55.12942
30,27.924505
313,278.79263
655,534.40826
5,5.5666065
35,34.052544
31,32.931953
50,38.733807
215,187.98009
18,11.058618
34,35.62168
0,12.872506
146,168.34047
218,230.958
61,51.41131
5,5.6124716
20,12.658294
36,51.28063
31,36.07092
18,16.296991
74,91.621704
27,28.526205
40,53.443428
315,325.64456
53,49.012115
10,6.781397
54,65.233925
39,44.706207
15,11.013622
44,24.103468
5,4.296389
206,240.03937
45,47.093147
39,43.039505
44,42.711742
0,23.6408
71,70.24208
22,16.335665
3,1.8554178
42,42.93887
81,77.54112
11,10.449997
23,19.4925
182,200.07724
13,10.487723
18,14.0350275
4,6.561638
77,82.22824
42,41.35749
468,378.22025
3,5.7740426
44,52.015324
479,423.08945
1,3.7295165
30,35.62663
35,39.334538
61,66.971794
112,113.31507
568,602.978
49,43.454403
305,233.85178
38,25.022217
40,47.34603
560,678.2767
46,47.693993
22,21.447258
32,42.530437
49,33.120323
82,69.24799
30,23.432749
12,9.347104
37,40.143295
42,52.656
0,23.994394
12,7.35175
18,14.362107
58,45.246788
6,10.599919
80,69.59646
37,35.82678
64,87.10758
5,9.98296
85,81.82927
30,33.794994
40,38.400436
48,48.28803
69,69.741104
0,19.604036
417,363.98654
61,46.721058
47,48.99182
58,73.07336
37,39.88408
54,47.44633
160,191.75981
0,10.488445
6,6.781373
5,10.0229225
44,43.253223
9,10.023101
7,3.995525
185,229.26404
82,79.667946
47,54.807484
4,5.765941
4,6.2601204
17,11.280281
27,34.74291
32,35.24499
0,23.205881
5,2.8883877
0,39.784744
27,29.6645
19,25.974115
6,8.849297
53,56.83015
13,8.099848
0,14.301692
6,6.5753765
46,40.04848
84,77.15407
0,22.23358
42,50.00737
15,12.263112
65,53.67798
94,70.710884
19,14.771243
42,41.956123
0,13.422344
34,22.217485
34,18.170162
252,217.00662
13,6.9210067
39,47.60856
210,251.81154
41,34.09518
62,78.05245
25,29.080244
97,94.46784
39,43.123646
18,20.161978
9,7.084346
5,9.094504
7,5.4471145
260,246.93903
125,116.32245
95,69.88418
72,72.81368
50,44.89619
41,59.522457
56,48.98493
52,44.254898
64,41.62939
20,17.78237
16,17.183252
48,52.18364
43,52.65393
6,7.1597886
5,7.340301
191,248.3934
10,9.951964
27,26.214735
59,52.683407
62,57.021244
11,7.059168
35,35.41864
73,65.12217
332,350.53934
189,232.77327
28,33.6707
286,228.91212
78,70.34235
65,67.11064
94,116.313614
6,3.5621274
0,21.658142
63,60.98277
26,28.649822
36,18.590298
42,48.084328
40,49.0878
64,68.118576
270,282.30887
290,278.4922
13,13.902768
49,65.97799
21,17.053263
46,32.219368
9,10.753935
38,41.195393
45,65.57103
43,49.2867
115,105.02535
67,40.143295
23,27.215452
43,45.255943
28,16.637665
37,36.67531
0,15.098076
23,23.03379
48,35.73532
13,6.955118
8,3.4822824
85,70.84414
17,11.115541
63,45.255795
55,48.396973
2,3.4312582
27,31.586813
8,8.680273
32,21.07322
225,277.97836
16,11.573364
68,44.687756
28,31.599634
60,46.958733
24,19.165985
41,38.55092
4,5.711861
254,220.83539
57,50.455055
512,481.04074
52,50.089695
0,25.656805
62,56.922703
9,6.176248
49,52.08233
2,2.9386208
119,83.712906
14,13.428331
333,278.26855
331,312.81198
55,67.91113
159,193.5849
33,33.162987
23,24.766357
85,80.21381
9,16.025127
8,4.21692
73,92.86731
56,60.241302
32,42.90312
168,186.924
44,40.87463
39,46.88096
21,18.567305
68,40.688805
90,66.82559
32,34.95099
51,60.497894
170,210.91832
41,57.232372
6,7.489622
17,18.64641
53,46.944878
24,15.013522
10,7.6170993
30,32.36877
85,86.91679
62,51.718086
28,25.629137
26,29.972538
210,197.95824
377,290.7004
11,17.963232
11,10.367391
4,4.994471
47,59.60256
13,8.12336
182,176.12448
7,8.379905
5,8.030145
49,52.967308
70,83.48146
53,57.922073
246,242.85918
41,48.137012
34,21.733839
17,17.23273
56,65.36395
33,37.91371
39,43.391964
285,249.11967
3,3.2871835
20,16.985119
44,31.766539
3,4.1160116
47,56.341705
45,25.99664
20,16.637014
40,32.606243
48,50.9102
340,270.51743
40,19.765696
69,62.5677
46,35.83082
26,21.071636
41,22.81874
77,54.87217
47,66.00374
169,177.5193
19,20.253775
150,177.99216
23,21.392706
70,62.23513
66,62.874615
50,39.08108
1,2.8667674
5,7.551356
49,50.017387
6,10.593181
47,38.214943
43,42.18637
255,193.50764
15,11.512133
335,416.97842
22,16.437025
37,41.735264
32,46.957603
5,8.246314
48,57.44189
4,0.8537775
3,4.5461717
37,35.410515
28,15.038207
24,21.184912
0,25.126045
71,32.817783
0,13.821698
204,244.32074
52,47.80586
56,72.96731
20,12.199075
273,251.00731
63,72.501564
0,4.899427
51,57.735794
122,150.23784
22,18.338404
2,2.9136078
658,579.973
34,28.31657
2,6.4662313
63,71.094734
203,173.61662
35,32.17528
33,41.541767
164,129.423
35,36.255787
122,145.25735
2,2.144846
62,56.89674
94,85.61721
37,18.393385
484,389.6282
220,278.24142
0,16.688017
54,60.687454
59,54.93073
52,40.623615
8,8.962058
35,43.667606
39,43.968746
56,64.854355
35,40.203907
51,43.983757
14,9.805909
38,45.788986
3,4.0969205
386,415.18134
48,35.969227
26,16.662
6,8.157987
0,21.224726
30,36.73604
58,70.53337
28,33.57039
64,54.95868
45,50.556118
57,65.810074
19,22.148563
15,16.555258
139,116.27968
153,182.84123
38,38.48769
33,25.577618
0,14.556707
67,76.45451
25,26.993078
22,14.349674
4,6.0162926
558,595.35944
380,350.24536
43,57.763508
756,629.8587
9,11.261654
334,405.21017
49,53.21002
12,11.05836
45,31.000885
226,273.96902
236,219.79938
14,8.44996
65,58.00821
421,396.71207
42,48.44768
22,23.859676
68,82.87477
23,14.371239
23,20.76707
84,65.62456
10,13.856296
58,51.602737
44,38.751637
17,17.557808
6,10.032811
332,268.2548
14,8.346245
0,18.807695
280,311.6126
29,16.910376
10,8.660727
3,1.9031938
40,35.93047
6,9.424371
8,7.3567643
15,10.07484
406,488.1892
87,75.20251
556,430.5629
98,100.543304
48,58.66293
55,52.06817
54,47.06671
8,6.101925
190,162.0822
39,21.780235
0,20.289822
11,9.637309
61,67.72161
29,25.282196
154,120.44965
269,256.21887
57,49.674633
7,8.450506
56,51.15241
74,66.793884
52,53.76464
46,36.361343
156,144.81853
117,81.68987
155,155.30019
29,34.601086
17,14.266899
36,45.927452
53,73.00702
418,485.7266
29,19.373236
54,51.430336
5,5.716027
213,227.45851
34,27.315443
7,8.118245
4,5.220445
47,55.206806
172,138.13087
48,45.87595
53,57.79818
50,59.715263
74,63.468727
30,38.47751
64,60.95608
459,513.2874
29,29.535213
7,7.435582
586,582.0662
313,291.4051
3,5.8813424
48,35.05057
278,351.45303
1,4.272766
30,29.973387
303,242.4275
72,35.02697
6,6.234319
3,3.7816052
38,35.725002
13,13.22904
36,37.58051
33,38.67038
9,9.837776
90,92.657715
48,45.68536
25,15.587377
22,27.501137
17,8.904886
35,44.720123
30,41.609695
38,46.06606
16,22.647182
7,7.515765
74,67.73799
0,14.303667
14,22.177532
4,6.4422393
39,33.930584
47,28.087173
0,19.985088
4,6.924304
270,288.41
301,290.63327
202,252.13399
84,42.518528
76,73.089005
231,263.818
231,245.89085
30,38.86426
13,8.030145
57,58.818604
16,12.722203
34,36.23145
54,40.34423
33,35.82826
268,239.81567
41,62.420242
25,19.020344
99,81.34568
20,20.73323
328,330.03513
4,2.810155
88,79.30041
36,35.64785
45,40.19827
237,227.77902
39,46.713295
4,5.485382
91,72.67606
26,17.447605
35,28.2641
77,67.252625
51,59.424873
89,80.695206
156,197.30031
41,45.206802
22,16.711853
450,432.09213
33,18.790096
20,14.037868
5,7.0279927
44,39.5064
50,44.901066
53,32.723557
43,36.58344
36,43.25302
84,64.48265
298,366.11353
291,278.1642
28,33.739883
39,44.463665
14,17.463444
4,5.959443
54,40.461758
34,35.953197
25,23.98388
2,4.2395616
11,6.3454633
0,19.119936
6,9.882244
48,51.09668
0,9.637309
70,48.080208
76,41.005688
5,8.700753
4,5.950294
0,13.855322
209,166.43991
4,7.4794774
32,38.299244
30,34.832134
44,50.261566
81,34.468063
41,38.078857
98,71.29101
43,38.307182
65,59.153557
48,42.858624
34,27.863152
2,3.2258134
55,43.387966
27,37.85588
68,59.064625
11,9.12462
5,4.431562
38,37.308464
30,29.014925
159,193.53113
87,104.35296
39,56.74354
65,70.91803
222,182.87689
43,37.767292
75,53.318493
0,24.524118
29,31.077444
39,42.299015
22,28.2716
117,95.90134
78,80.39946
162,178.08412
145,183.90164
53,47.42189
393,353.79196
64,46.0435
14,15.637485
29,16.940079
175,185.77539
24,13.646333
5,4.7496886
70,63.62579
20,19.19966
96,106.4033
398,311.2097
18,9.4778385
54,44.828526
136,168.48541
55,50.218758
27,26.571678
72,69.07942
209,176.19557
64,60.54137
0,18.51596
10,9.997101
14,13.616106
6,10.852247
70,67.47779
43,51.97164
0,14.565738
0,24.567554
26,33.806156
185,208.36504
215,193.63449
0,20.432003
64,65.759865
31,25.95473
169,213.98746
52,29.221876
0,22.574263
316,284.4727
120,80.95451
426,475.77023
151,159.96396
15,16.325811
0,15.776506
11,11.451131
57,52.656
0,49.30977
19,14.300479
39,47.950138
49,42.140007
222,221.31668
109,111.27031
297,315.56833
42,42.166008
17,24.771666
1,3.072109
39,49.096413
19,14.38113
57,35.706074
44,43.82423
27,15.36738
82,61.8043
49,68.64903
9,9.15497
7,9.07202
3,2.433852
519,412.8697
509,556.78204
31,16.139162
35,17.954311
5,3.496683
78,75.2667
6,8.289364
50,41.572437
16,18.321228
388,383.84058
211,272.5731
77,81.037346
65,79.128494
74,89.62923
321,386.67902
45,24.167784
36,21.686241
0,41.020046
0,27.305534
267,341.5943
231,226.47202
380,315.30472
173,180.29076
0,18.438164
21,16.568132
299,383.9608
50,51.764797
51,56.619347
22,20.665253
12,6.7023616
0,13.99906
31,24.173296
21,24.392996
47,48.407124
0,14.578427
31,29.915
58,54.029804
7,8.407142
392,375.33438
78,82.516335
38,42.22638
45,49.480385
28,36.12981
80,86.8235
35,35.04923
8,3.382821
311,383.55215
14,20.271296
257,272.77386
61,69.23758
53,53.052975
9,13.780229
4,4.3033586
39,34.838657
33,38.46947
11,4.6786294
45,67.40318
258,321.84833
228,270.0236
29,26.969973
54,54.01028
73,57.61707
81,66.33307
136,126.51728
6,7.477513
31,32.02086
92,91.25473
79,73.24084
61,30.330904
32,30.98917
290,336.52585
43,48.473907
18,14.3544855
33,27.59044
25,30.487322
28,31.914036
36,43.700714
36,42.206226
334,410.81396
262,271.62674
19,19.426567
30,27.469719
13,10.317839
11,8.565113
48,47.95497
375,338.28055
60,61.26751
42,49.096413
305,330.86145
95,80.627396
47,51.10754
148,126.896454
487,452.1154
60,59.33109
270,272.34338
48,45.998547
145,180.3392
61,54.14109
64,48.87425
267,244.91542
45,52.21216
6,7.550966
29,29.768702
39,36.98065
23,19.05827
30,41.94755
36,25.085066
35,37.990753
0,21.40983
74,44.309437
54,50.942352
59,48.601837
10,8.7156725
232,250.33194
56,50.663734
35,32.359837
0,19.9566
37,45.785126
62,63.284966
6,6.2566247
77,55.498524
48,40.506195
146,138.4502
40,37.119564
58,39.99694
35,31.63575
16,22.9796
17,15.819031
35,51.208416
48,52.232296
0,14.704809
6,11.305009
43,48.076164
82,89.450134
428,357.73602
7,7.700762
336,318.78333
29,29.824884
77,54.703773
355,340.94537
186,213.75203
50,44.720432
23,9.927125
31,32.922035
42,36.87264
37,39.20564
26,33.94834
35,35.525894
66,77.51147
59,62.20414
80,83.75853
84,84.64512
41,30.131319
8,6.4166746
171,191.97656
24,25.628544
257,225.86998
33,36.767708
81,87.7569
42,26.65697
41,45.38149
47,45.55342
21,19.38849
323,271.60504
1,4.22506
22,16.940401
